model,uplift_decile,n,treated_n,control_n,treated_events,control_events,observed_ed_rate,treated_observed_ed_rate,control_observed_ed_rate,observed_control_minus_treated_gap,gap_ci_lower_95,gap_ci_upper_95,gap_ci_includes_zero_95,avg_predicted_benefit,predicted_minus_observed_gap,abs_predicted_minus_observed_gap,avg_pred_ed_if_treated,avg_pred_ed_if_control,treated_pct,ci_method
XGBoost,1,30,10,20,2,1,0.1,0.2,0.05,-0.15000000000000002,-0.41568177759081265,0.1156817775908126,True,0.082797505,0.23279750496149065,0.23279750496149065,0.06753922,0.15033671,0.3333333333333333,normal_approx_difference_in_proportions
XGBoost,2,30,12,18,1,0,0.03333333333333333,0.08333333333333333,0.0,-0.08333333333333333,-0.2397102219855453,0.07304355531887864,True,0.07262758,0.15596091498931247,0.15596091498931247,0.06363632,0.13626389,0.4,normal_approx_difference_in_proportions
XGBoost,3,30,13,17,0,1,0.03333333333333333,0.0,0.058823529411764705,0.058823529411764705,-0.0530261397149909,0.1706731985385203,True,0.06971881,0.010895278523950017,0.010895278523950017,0.06535615,0.13507494,0.43333333333333335,normal_approx_difference_in_proportions
XGBoost,4,30,8,22,0,1,0.03333333333333333,0.0,0.045454545454545456,0.045454545454545456,-0.041586424213495454,0.13249551512258637,True,0.06737799,0.021923446519808334,0.021923446519808334,0.061663885,0.12904187,0.26666666666666666,normal_approx_difference_in_proportions
XGBoost,5,30,14,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.06544241,0.06544241309165955,0.06544241309165955,0.06406361,0.129506,0.4666666666666667,normal_approx_difference_in_proportions
XGBoost,6,30,11,19,1,2,0.1,0.09090909090909091,0.10526315789473684,0.014354066985645925,-0.2045146734421773,0.23322280741346915,True,0.061391365,0.047037297797402705,0.047037297797402705,0.06954061,0.13093197,0.36666666666666664,normal_approx_difference_in_proportions
XGBoost,7,30,10,20,0,3,0.1,0.0,0.15,0.15,-0.006490575972682794,0.3064905759726828,True,0.05636937,-0.0936306282877922,0.0936306282877922,0.07605105,0.13242044,0.3333333333333333,normal_approx_difference_in_proportions
XGBoost,8,30,16,14,1,2,0.1,0.0625,0.14285714285714285,0.08035714285714285,-0.13796969541175183,0.29868398112603756,True,0.05052868,-0.02982846381408827,0.02982846381408827,0.09384705,0.14437571,0.5333333333333333,normal_approx_difference_in_proportions
XGBoost,9,30,12,18,0,2,0.06666666666666667,0.0,0.1111111111111111,0.1111111111111111,-0.03407140740740741,0.25629362962962965,True,0.04288876,-0.06822235054439968,0.06822235054439968,0.09692721,0.13981599,0.4,normal_approx_difference_in_proportions
XGBoost,10,30,16,14,1,1,0.06666666666666667,0.0625,0.07142857142857142,0.008928571428571425,-0.17070208858686822,0.18855923144401107,True,0.026938697,0.018010125894631662,0.018010125894631662,0.10909752,0.13603619,0.5333333333333333,normal_approx_difference_in_proportions
